X.1,School,Type,Applied,Offers,school_clean,URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL,OFSTEDRATING,OFSTEDLASTINSP,lat,lng
51,Camden School for Girls,State,56,18,Camden School for Girls,100054.0,Camden,202.0,4611.0,2024611.0,The Camden School for Girls,Sandall Road,,,London,NW5 2DB,Open,,,Maintained school,Voluntary aided school,0.0,1.0,1.0,11.0,18.0,Girls,None,Non-selective,Outstanding,06-12-2007,51.5460921,-0.134616
52,Dame Alice Owen’s School,State,66 ,18,Dame Alice Owens School,136554.0,Hertfordshire,919.0,5407.0,9195407.0,Dame Alice Owen's School,Dugdale Hill Lane,,,Potters Bar,EN6 2DU,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Mixed,None,Non-selective,,,51.6907953,-0.2071661
53,Dr Challoner’s Grammar School,State,71,18,Dr Challoners Grammar School,136419.0,Buckinghamshire,825.0,4504.0,8254504.0,Dr Challoner's Grammar School,Chesham Road,,,Amersham,HP6 5HA,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,None,Selective,Outstanding,06-11-2019,51.6760251,-0.6095188
54,"Exeter College, Hele Road Centre",State,76,18,Exeter College,130645.0,Devon,878.0,8000.0,8788000.0,Exeter College,Hele Road,,,Exeter,EX4 4JS,Open,,,College,Further education,0.0,0.0,1.0,16.0,99.0,Mixed,Does not apply,Not applicable,Outstanding,24-01-2014,50.7283449,-3.5385612
55=,"Haberdashers’ School for Girls, Elstree ",Independent,43 ,17,Haberdashers School for Girls,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6547048,-0.311669
55=,South Hampstead High School,Independent,43,17,South Hampstead High School,100076.0,Camden,202.0,6307.0,2026307.0,South Hampstead High School,3 Maresfield Gardens,London,,,NW3 5SS,Open,,,Independent school,Other independent school,1.0,1.0,1.0,4.0,18.0,Girls,None,Not applicable,,,51.5461891,-0.1769548
57,Kendrick School,State,44,17,Kendrick School,136448.0,Reading,870.0,5413.0,8705413.0,Kendrick School,London Road,,,Reading,RG1 5BN,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Girls,None,Selective,,,51.4515379,-0.9658774
58,Wallington County Grammar School,State,46 ,17,Wallington County Grammar School,136798.0,Sutton,319.0,5407.0,3195407.0,Wallington County Grammar School,Croydon Road,,,Wallington,SM6 7PH,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,None,Selective,Outstanding,18-01-2017,51.3692254,-0.1488237
59,"Alleyn’s School, Dulwich",Independent,60,17,Alleyns School,100864.0,Southwark,210.0,6312.0,2106312.0,Alleyn's School,Townley Road,Dulwich,Greater London,London,SE22 8SU,Open,,,Independent school,Other independent school,1.0,1.0,1.0,4.0,18.0,Mixed,None,Selective,,,51.4548743,-0.0806128
60,The Cherwell School ,State ,62,17,Cherwell School,137970.0,Oxfordshire,931.0,4116.0,9314116.0,The Cherwell School,Marston Ferry Road,,,Oxford,OX2 7EE,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Mixed,Does not apply,Non-selective,,,51.7755308,-1.2592327
61,"Wellington College, Crowthorne ",Independent ,66,17,Wellington College,110125.0,Bracknell Forest,867.0,6001.0,8676001.0,Wellington College,Duke's Ride,Crowthorne,Berkshire,,RG45 7PU,Open,,,Independent school,Other independent school,0.0,1.0,1.0,13.0,18.0,Mixed,Church of England,Selective,,,51.364466,-0.806496
62,Abingdon School,Independent,72,17,Abingdon School,123312.0,Oxfordshire,931.0,6095.0,9316095.0,Abingdon School,Park Road,,,Abingdon,OX14 1DE,Open,,,Independent school,Other independent school,1.0,1.0,1.0,4.0,19.0,Boys,None,Not applicable,,,51.6729938,-1.2883791
